_PRODUCT_UPC_CODE	_PRODUCT_DESCRIPTION_EN	_PRODUCT_DESCRIPTION_HK	_PRODUCT_LONG_DESCRIPTION_EN	_PRODUCT_LONG_DESCRIPTION_HK	_SERVICE_TYPE_CODE	_SERVICE_TYPE_NAME_EN	_SERVICE_TYPE_NAME_HK	_SERVICE_TYPE_NAME_CN	_ZONE_CODE	_BRAND_CODE	_BRAND_DESCRIPTION_EN	_BRAND_DESCRIPTION_HK	_PRODUCT_TEMPLATE_CODE	_DESTINATION_CODE	_DESTINATION_NAME_EN	_DESTINATION_NAME_HK	_DESTINATION_NAME_CN	_WEIGHT_LIMIT	_WEIGHT_FROM	_WEIGHT_TO	_TRACKING_LEVEL	_PRODUCT_RETAIL_PRICE_HKD	_PRODUCT_RETAIL_PRICE_USD	_PRODUCT_CREATED_DATE
AIR_PAR_1_NZ_NZ_5.501_6.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 5.501kg to 6.000kg	空郵包裹 至 新西蘭, 5.501kg 至 6.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	5.501	6.000	2	607.00	77.8205128205128205	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_6.001_6.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 6.001kg to 6.500kg	空郵包裹 至 新西蘭, 6.001kg 至 6.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	6.001	6.500	2	632.00	81.0256410256410256	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_6.501_7.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 6.501kg to 7.000kg	空郵包裹 至 新西蘭, 6.501kg 至 7.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	6.501	7.000	2	657.00	84.2307692307692308	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_7.001_7.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 7.001kg to 7.500kg	空郵包裹 至 新西蘭, 7.001kg 至 7.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	7.001	7.500	2	682.00	87.4358974358974359	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_7.501_8.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 7.501kg to 8.000kg	空郵包裹 至 新西蘭, 7.501kg 至 8.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	7.501	8.000	2	707.00	90.6410256410256410	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_8.001_8.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 8.001kg to 8.500kg	空郵包裹 至 新西蘭, 8.001kg 至 8.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	8.001	8.500	2	732.00	93.8461538461538462	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_8.501_9.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 8.501kg to 9.000kg	空郵包裹 至 新西蘭, 8.501kg 至 9.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	8.501	9.000	2	757.00	97.0512820512820513	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_9.001_9.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 9.001kg to 9.500kg	空郵包裹 至 新西蘭, 9.001kg 至 9.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	9.001	9.500	2	782.00	100.2564102564102564	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_9.501_10.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 9.501kg to 10.000kg	空郵包裹 至 新西蘭, 9.501kg 至 10.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	9.501	10.000	2	807.00	103.4615384615384615	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_10.001_10.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 10.001kg to 10.500kg	空郵包裹 至 新西蘭, 10.001kg 至 10.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	10.001	10.500	2	832.00	106.6666666666666667	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_10.501_11.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 10.501kg to 11.000kg	空郵包裹 至 新西蘭, 10.501kg 至 11.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	10.501	11.000	2	857.00	109.8717948717948718	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_11.001_11.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 11.001kg to 11.500kg	空郵包裹 至 新西蘭, 11.001kg 至 11.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	11.001	11.500	2	882.00	113.0769230769230769	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_11.501_12.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 11.501kg to 12.000kg	空郵包裹 至 新西蘭, 11.501kg 至 12.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	11.501	12.000	2	907.00	116.2820512820512821	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_12.001_12.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 12.001kg to 12.500kg	空郵包裹 至 新西蘭, 12.001kg 至 12.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	12.001	12.500	2	932.00	119.4871794871794872	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_12.501_13.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 12.501kg to 13.000kg	空郵包裹 至 新西蘭, 12.501kg 至 13.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	12.501	13.000	2	957.00	122.6923076923076923	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_13.001_13.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 13.001kg to 13.500kg	空郵包裹 至 新西蘭, 13.001kg 至 13.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	13.001	13.500	2	982.00	125.8974358974358974	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_13.501_14.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 13.501kg to 14.000kg	空郵包裹 至 新西蘭, 13.501kg 至 14.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	13.501	14.000	2	1007.00	129.1025641025641026	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_14.001_14.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 14.001kg to 14.500kg	空郵包裹 至 新西蘭, 14.001kg 至 14.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	14.001	14.500	2	1032.00	132.3076923076923077	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_14.501_15.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 14.501kg to 15.000kg	空郵包裹 至 新西蘭, 14.501kg 至 15.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	14.501	15.000	2	1057.00	135.5128205128205128	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_15.001_15.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 15.001kg to 15.500kg	空郵包裹 至 新西蘭, 15.001kg 至 15.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	15.001	15.500	2	1082.00	138.7179487179487179	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_15.501_16.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 15.501kg to 16.000kg	空郵包裹 至 新西蘭, 15.501kg 至 16.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	15.501	16.000	2	1107.00	141.9230769230769231	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_16.001_16.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 16.001kg to 16.500kg	空郵包裹 至 新西蘭, 16.001kg 至 16.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	16.001	16.500	2	1132.00	145.1282051282051282	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_16.501_17.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 16.501kg to 17.000kg	空郵包裹 至 新西蘭, 16.501kg 至 17.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	16.501	17.000	2	1157.00	148.3333333333333333	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_17.001_17.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 17.001kg to 17.500kg	空郵包裹 至 新西蘭, 17.001kg 至 17.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	17.001	17.500	2	1182.00	151.5384615384615385	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_17.501_18.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 17.501kg to 18.000kg	空郵包裹 至 新西蘭, 17.501kg 至 18.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	17.501	18.000	2	1207.00	154.7435897435897436	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_18.001_18.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 18.001kg to 18.500kg	空郵包裹 至 新西蘭, 18.001kg 至 18.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	18.001	18.500	2	1232.00	157.9487179487179487	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_18.501_19.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 18.501kg to 19.000kg	空郵包裹 至 新西蘭, 18.501kg 至 19.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	18.501	19.000	2	1257.00	161.1538461538461538	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_19.001_19.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 19.001kg to 19.500kg	空郵包裹 至 新西蘭, 19.001kg 至 19.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	19.001	19.500	2	1282.00	164.3589743589743590	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_19.501_20.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 19.501kg to 20.000kg	空郵包裹 至 新西蘭, 19.501kg 至 20.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	19.501	20.000	2	1307.00	167.5641025641025641	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_20.001_20.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 20.001kg to 20.500kg	空郵包裹 至 新西蘭, 20.001kg 至 20.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	20.001	20.500	2	1332.00	170.7692307692307692	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_20.501_21.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 20.501kg to 21.000kg	空郵包裹 至 新西蘭, 20.501kg 至 21.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	20.501	21.000	2	1357.00	173.9743589743589744	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_21.001_21.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 21.001kg to 21.500kg	空郵包裹 至 新西蘭, 21.001kg 至 21.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	21.001	21.500	2	1382.00	177.1794871794871795	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_21.501_22.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 21.501kg to 22.000kg	空郵包裹 至 新西蘭, 21.501kg 至 22.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	21.501	22.000	2	1407.00	180.3846153846153846	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_22.001_22.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 22.001kg to 22.500kg	空郵包裹 至 新西蘭, 22.001kg 至 22.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	22.001	22.500	2	1432.00	183.5897435897435897	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_22.501_23.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 22.501kg to 23.000kg	空郵包裹 至 新西蘭, 22.501kg 至 23.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	22.501	23.000	2	1457.00	186.7948717948717949	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_23.001_23.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 23.001kg to 23.500kg	空郵包裹 至 新西蘭, 23.001kg 至 23.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	23.001	23.500	2	1482.00	190.0000000000000000	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_23.501_24.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 23.501kg to 24.000kg	空郵包裹 至 新西蘭, 23.501kg 至 24.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	23.501	24.000	2	1507.00	193.2051282051282051	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_24.001_24.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 24.001kg to 24.500kg	空郵包裹 至 新西蘭, 24.001kg 至 24.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	24.001	24.500	2	1532.00	196.4102564102564103	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_24.501_25.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 24.501kg to 25.000kg	空郵包裹 至 新西蘭, 24.501kg 至 25.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	24.501	25.000	2	1557.00	199.6153846153846154	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_25.001_25.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 25.001kg to 25.500kg	空郵包裹 至 新西蘭, 25.001kg 至 25.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	25.001	25.500	2	1582.00	202.8205128205128205	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_25.501_26.000	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 25.501kg to 26.000kg	空郵包裹 至 新西蘭, 25.501kg 至 26.000kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	25.501	26.000	2	1607.00	206.0256410256410256	2021-03-22 09:03:21
AIR_PAR_1_NZ_NZ_26.001_26.500	Air Parcel to NEW ZEALAND	空郵包裹 至 新西蘭	Air Parcel to NEW ZEALAND, weight from 26.001kg to 26.500kg	空郵包裹 至 新西蘭, 26.001kg 至 26.500kg 重	AIR_PAR_1	Air Parcel	空郵包裹	空邮包裹	NZ	HKP01	Hong Kong Post	香港郵政	SHP01	NZNZ1	NEW ZEALAND	新西蘭	新西兰	30.000	26.001	26.500	2	1632.00	209.2307692307692308	2021-03-22 09:03:21
